id,gen_summary,sent,label,lexrank_rank,rouge1_rank,bertscore_rank,attention_rank,perplexity_rank,lexrank,rouge1,bertscore,attention,perplexity
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"Town mayor Elizabeth Hodgkin said: ""We are the home of rowing... I feel very excited about it.",0,2,10,4,10,5,1.0697753184489611,0.0,0.8488281965255737,0.5685721635818481,0.004052639007568359
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"""I think it's wonderful news, it's a great thing for the town.""",0,3,3,5,9,9,1.0420517700447514,0.125,0.8470719456672668,0.6557926535606384,-0.057894229888916016
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"Mr Fellman said: ""It's almost like the torch has come again. It's a piece of the Olympics coming back to people's doorsteps.",0,8,2,7,1,7,0.9536281724728664,0.18604651162790697,0.8445312976837158,4.556891918182373,-0.026782751083374023
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"""The support for the boxes, it's kind of like the new tourist attraction. It's fantastic and I think people have really taken it to their hearts.""",0,10,9,9,3,4,0.8281005094435135,0.043478260869565216,0.8390020132064819,2.3624258041381836,0.04294013977050781
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,The Henley-on-Thames postbox was painted on Friday.,2,7,1,0,0,0,0.9629578053233466,0.3703703703703704,0.932195782661438,5.58450174331665,1.195210576057434
xsum__test__19296638__pegasus-xsum__0,A Royal Mail postbox in Henley-on-Thames has been painted gold following Team GB's Olympic success.,"The town is holding a victory bus parade for more than 24 Olympians on 25 August, along with a civic reception.",1,6,6,2,2,3,0.9833797105820233,0.10256410256410256,0.8560323119163513,4.151332855224609,0.06377553939819336
xsum__validation__21647035__pegasus-xsum__0,Lord Sugar is to step down as chairman of TV service YouView.,"The businessman and star of BBC One's The Apprentice said that after his two-year tenure his work was ""complete"".",2,5,5,5,5,0,0.8037583152277993,0.060606060606060615,0.854964554309845,0.9547566771507263,0.8813025951385498
xsum__validation__21647035__pegasus-xsum__0,Lord Sugar is to step down as chairman of TV service YouView.,"The service offers 70 live Freeview channels and is a joint venture between the BBC, ITV, BT, Channel 4, Channel 5, TalkTalk and Arqiva.",0,4,4,6,3,3,0.8347212874263991,0.1111111111111111,0.8450798988342285,1.6580251455307007,0.035242557525634766
xsum__validation__21647035__pegasus-xsum__0,Lord Sugar is to step down as chairman of TV service YouView.,"YouView said Lord Sugar would go ""in the next few weeks"" and a new chairman would be announced in due course.",3,0,0,0,4,2,1.2159347707460302,0.24242424242424246,0.888932466506958,1.2103886604309082,0.1447129249572754
xsum__validation__21647035__pegasus-xsum__0,Lord Sugar is to step down as chairman of TV service YouView.,"Formerly known as Project Canvas, YouView is a free web-connected TV service combining Freeview digital channels with on-demand content such as iPlayer. It is accessed via a set-top box.",1,2,1,3,0,1,1.119643766890683,0.22727272727272727,0.8631201386451721,4.5329132080078125,0.1858757734298706
xsum__validation__21647035__pegasus-xsum__0,Lord Sugar is to step down as chairman of TV service YouView.,"Lord Sugar said: ""When I joined YouView in 2011, my brief from the shareholders was to use my experience in the electronics industry to get the product to market and into the homes of consumers.",0,1,2,1,2,6,1.1454895853748266,0.21276595744680848,0.8780019879341125,1.993732213973999,-0.03748035430908203
xsum__validation__21647035__pegasus-xsum__0,Lord Sugar is to step down as chairman of TV service YouView.,"""Having done that successfully, my job is complete and I will now focus my time and attention into my other businesses.""",1,6,6,4,6,4,0.7890864838394253,0.060606060606060615,0.8580553531646729,0.5931686162948608,0.03208482265472412
xsum__validation__21647035__pegasus-xsum__0,Lord Sugar is to step down as chairman of TV service YouView.,"YouView faces competition from rivals such as Sky, which has an on-demand service, and Virgin Media with its Tivo service.",0,3,3,2,1,5,1.0913657904947631,0.18181818181818182,0.8726677894592285,4.057016372680664,0.029107332229614258
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"The shrine is being built by Manoj Tiwary, a local film star, and will be opened to the public early next year.",1,9,1,2,8,1,0.703384504437234,0.3,0.8813670873641968,0.7609288096427917,0.7658007144927979
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,Tendulkar retired from international cricket following India's victory over the West Indies in a Test in Mumbai last week.,1,6,2,4,11,2,1.096495263230235,0.2631578947368421,0.8734889626502991,0.4320656955242157,0.0337902307510376
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"Shortly afterwards he was awarded the country's highest civilian honour, the Bharat Ratna.",1,7,11,7,9,10,1.0,0.0625,0.8577921986579895,0.46281328797340393,-0.012168288230895996
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,Many of his fans in India describe Tendulkar as the god of cricket.,2,3,0,0,3,5,1.1952110770531743,0.3225806451612903,0.903252124786377,2.5686659812927246,0.01268160343170166
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"On Tuesday, Mr Tiwary inaugurated the 5ft 6in (167cm) deity of Tendulkar amid prayers at the site of the proposed temple in Atraulia village in Bhabhua district in Bihar.",2,4,5,6,4,0,1.122382631732928,0.2553191489361702,0.8683367371559143,1.427558183670044,0.8392362594604492
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"The idol of the star, sporting a blue jersey with the World Cup in his hand, is made of marble.",0,10,3,9,2,7,0.6250919230405104,0.2631578947368421,0.8551435470581055,2.8216869831085205,-0.001145482063293457
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"The 6000 sq ft (557 square metres) temple will cost seven million rupees ($112,464; Â£69,805) and will contain idols of other cricketers such as Indian captain MS Dhoni and star batsman Yuvraj Singh.",1,8,8,10,0,8,0.8123731027130849,0.18867924528301885,0.8439592123031616,4.6796064376831055,-0.004675388336181641
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,Mr Tiwary hopes that Tendulkar will inaugurate the temple when it is ready.,0,0,4,1,10,3,1.2610847792357374,0.2580645161290323,0.8822870850563049,0.43739888072013855,0.026030778884887695
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"""I decided to build the temple in my village soon after India won the World Cup cricket in 2011"", he told the BBC.",0,1,7,3,6,9,1.242588770016863,0.24390243902439024,0.8796680569648743,0.8658254146575928,-0.005226254463195801
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"""The temple will provide an opportunity to the lovers of cricket from around the world to pay their respects to these cricketers who are nothing short of gods in India.""",0,5,6,5,1,6,1.1107597193612058,0.25,0.8717947602272034,3.8545005321502686,0.0014671087265014648
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,Tendulkar bowed out of international cricket after his 200th Test match - 24 years and one day after his first.,0,2,9,8,5,4,1.2226308102376127,0.16216216216216214,0.8576770424842834,0.8689734935760498,0.021913647651672363
xsum__train__25013022__pegasus-xsum__0,A temple dedicated to Indian cricket legend Sachin Tendulkar is being built in the eastern state of Bihar.,"He played in 664 international matches, scoring 34,357 runs and making 100 centuries. He scored almost 2,500 more Test runs than the second-placed batsman, Ricky Ponting.",0,11,10,11,7,11,0.6079974189414091,0.0851063829787234,0.8332054018974304,0.8199759721755981,-0.020807743072509766
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,The Paris St-Germain striker scored twice against Portugal on Tuesday but Cristiano Ronaldo's hat-trick took his side through 4-2 on aggregate.,2,0,4,5,6,2,1.1753514560463496,0.1702127659574468,0.8508507609367371,1.2081950902938843,0.09315991401672363
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"Ibrahimovic, 32, said: ""It was probably the last attempt to reach the World Cup with the national team for me.",2,4,5,1,2,1,1.1291409469727267,0.14285714285714282,0.8732492923736572,1.8936541080474854,0.11287415027618408
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"""A World Cup without me is nothing to watch so it is not worthwhile to wait for the World Cup.""",1,8,7,4,9,6,0.9468700898402109,0.09523809523809525,0.8514984250068665,0.8148670196533203,0.007968425750732422
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"The play-off between Sweden and Portugal, who had both finished second in their qualifying groups, had been billed as a showdown between Ibrahimovic and Ronaldo - two of the best players in the world.",2,3,2,2,8,3,1.1569019181619598,0.21428571428571427,0.8660760521888733,1.0438474416732788,0.04141426086425781
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"At the age of 32, Sweden skipper Zlatan Ibrahimovic may not have another opportunity to play in a World Cup finals.",1,1,0,0,3,0,1.1692138260702023,0.2790697674418604,0.895508348941803,1.557814121246338,0.1234276294708252
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,And the tournament would represent a nadir in the Paris St-Germain striker's career. He has never scored at a finals having made two substitute appearances in 2002 and three starts in 2006.,0,9,9,10,7,4,0.9457790174897226,0.07142857142857142,0.8370561003684998,1.064813494682312,0.027789831161499023
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,They ended up scoring all six goals between them as Portugal won 4-2 on aggregate.,0,5,10,9,12,11,1.0464787206504687,0.052631578947368425,0.8398616313934326,0.30230143666267395,-0.010440230369567871
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"Former Inter Milan forward Ibrahimovic, who has played in two World Cups, scored eight times in qualifying, including the play-offs, and assisted another six goals - having a hand in 14 out of Sweden's 21 goals.",0,2,1,3,1,10,1.1600447679197543,0.23728813559322035,0.8586984276771545,6.785273551940918,-0.005213737487792969
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"He told Uefa's website: ""Why did we lose? To be honest, they were better than us. We should be proud. We couldn't have done better than we did.",0,7,8,7,5,12,1.0,0.07692307692307691,0.8419137001037598,1.245718002319336,-0.013367652893066406
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"""Of course, we could look back at our mistakes, but these things happen. They punished our mistakes. After making it 2-1 it felt like we were on a roll, our hopes grew, but unfortunately they made it 2-2 soon afterwards.""",0,12,11,12,4,9,0.5234864968751123,0.03125,0.8305205702781677,1.3296068906784058,0.0023832321166992188
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"Real Madrid forward Ronaldo, who has scored 34 goals in 24 games this season for club and country, said: ""I just did my job, as I have been doing lately. I always try to give my best - that is always my goal.""",0,10,12,8,10,5,0.8876827838549134,0.0,0.8407625555992126,0.7689837217330933,0.015227198600769043
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"He is now Portugal's joint-top scorer, along with retired former Paris St-Germain striker Pauleta on 47.",0,11,3,11,11,7,0.8206430364703889,0.1951219512195122,0.8353212475776672,0.4483588635921478,0.005632519721984863
xsum__test__25014368__pegasus-xsum__0,Sweden captain Zlatan Ibrahimovic says he will retire from international football after his side's World Cup play-off defeat by Portugal.,"""It was not a priority for me to break Pauleta's record,"" the 28-year-old said. ""I knew Portugal needed me and I stuck to the task at hand. Now we have some time to rest and to do our best for our clubs before starting to think about the World Cup finals.""",0,6,6,6,0,8,1.0384069396484854,0.10526315789473684,0.8475394248962402,10.536565780639648,0.005267143249511719
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.",Neotrogla females insert the erectile organs into males' vagina-like openings.,2,7,6,4,8,3,0.9414979774343217,0.13793103448275862,0.8673872947692871,0.7769613265991211,0.2607229948043823
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","The elaborate structure, dubbed a ""gynosome"", is used to suck out sperm and nutritious seminal fluids.",2,11,9,9,10,6,0.8196343536450265,0.058823529411764705,0.8546867966651917,0.7312711477279663,0.07718336582183838
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","Copulation lasts an impressive 40-70 hours, the researchers report in Current Biology.",0,10,8,6,11,2,0.8803582112366917,0.06451612903225808,0.8628197312355042,0.35796165466308594,0.32038795948028564
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","""Although sex-role reversal has been identified in several different animals, Neotrogla is the only example in which the intromittent organ is also reversed,"" said lead author Kazunori Yoshizawa from Hokkaido University in Japan.",1,5,11,11,6,5,1.012189749953336,0.03846153846153846,0.8390849828720093,1.0438040494918823,0.09416067600250244
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.",The gender-bending insects were found in a cave in eastern Brazil and represent four distinct species in the Neotrogla genus.,2,0,1,2,4,0,1.2082387358084363,0.20512820512820512,0.8719321489334106,1.38472580909729,0.7674456834793091
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","Once inside a male, the membranous part of the female gynosome inflates. It has numerous spines which anchor the two insects together.",1,1,2,8,7,10,1.1966838293211,0.19999999999999998,0.8583278656005859,1.027169108390808,-0.01070868968963623
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","When the researchers attempted to pull a male and female apart, the male's abdomen was ripped from the thorax without breaking the genital coupling.",0,3,4,1,9,7,1.023424617463807,0.18604651162790697,0.8740314841270447,0.7658069133758545,0.06177330017089844
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","The unusual role reversal may have been driven by the resource-poor cave environment in which the bugs live, the researchers speculate.",1,9,7,3,5,4,0.9117166936915106,0.09999999999999999,0.8684167265892029,1.1963636875152588,0.11428630352020264
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","Copulation provides a female with food as well as sperm - so it is advantageous for her to mate at a higher rate, they note.",0,4,3,7,0,8,1.0153558488025454,0.1904761904761905,0.8603739738464355,8.442970275878906,0.026057839393615723
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","The curious insects offer new opportunities to test ideas about sexual selection, conflict between the sexes, and the evolution of novelty.",0,8,10,5,3,11,0.9187134736748589,0.05128205128205128,0.8665608167648315,1.5611528158187866,-0.016846060752868652
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","""It will be important to unveil why, among many sex-role-reversed animals, only Neotrogla evolved the elaborated female penis,"" said Yoshitaka Kamimura from Keio University in Japan.",2,2,5,10,1,1,1.0965758748189844,0.17391304347826086,0.8509959578514099,5.120594024658203,0.7381354570388794
xsum__train__27056809__pegasus-xsum__0,"Female insects in Brazil have evolved a penis that doubles up as a male's genitalia, scientists say.","Their first task, they say, is to establish a healthy population of the insects in the lab.",0,6,0,0,2,9,0.9756106341493863,0.22857142857142856,0.8743656873703003,1.5912195444107056,0.0260012149810791
xsum__validation__27360980__pegasus-xsum__0,A giant cardboard tower has been built in Norwich.,11 May 2014 Last updated at 11:24 BST,2,2,3,5,4,4,1.0,0.0,0.7799051403999329,0.5058372020721436,-0.0031599998474121094
xsum__validation__27360980__pegasus-xsum__0,A giant cardboard tower has been built in Norwich.,"Hundreds of volunteer builders gathered in the city centre to make the tower, using 1,000 cardboard bricks.",3,1,0,0,1,0,1.0235976943195926,0.2222222222222222,0.9042254686355591,1.833899974822998,1.9822221994400024
xsum__validation__27360980__pegasus-xsum__0,A giant cardboard tower has been built in Norwich.,The People's Tower community art event was created to mark the opening weekend of the annual Norfolk and Norwich Festival.,3,4,1,1,2,1,0.9956125997948129,0.13333333333333333,0.8878140449523926,1.4598652124404907,1.406039834022522
xsum__validation__27360980__pegasus-xsum__0,A giant cardboard tower has been built in Norwich.,The tower is 22 metres tall and is designed to look like the St Peter Mancroft Church tower.,2,0,2,2,3,2,1.1391213343076192,0.07407407407407407,0.8730071187019348,0.8940051794052124,0.2112720012664795
xsum__validation__27360980__pegasus-xsum__0,A giant cardboard tower has been built in Norwich.,It took more than eight hours to complete and was held together by more than eight miles of packing tape.,0,3,4,3,0,5,1.0,0.0,0.8634940385818481,5.963847637176514,-0.008447051048278809
xsum__validation__27360980__pegasus-xsum__0,A giant cardboard tower has been built in Norwich.,It was designed by French artist Olivier GrossetÃªte.,0,5,5,4,5,3,0.841668371577948,0.0,0.838849663734436,0.34254464507102966,0.009832024574279785
xsum__train__28040681__pegasus-xsum__0,Nasa has successfully tested its new Orion spacecraft's parachute system.,"The test version of the Orion capsule touched down safely in the Arizona desert after being dropped from a C-17 military aircraft at 10.6km (35,000ft).",2,5,9,9,6,3,0.9806442577884735,0.10256410256410255,0.8679923415184021,0.6781306266784668,0.08858942985534668
xsum__train__28040681__pegasus-xsum__0,Nasa has successfully tested its new Orion spacecraft's parachute system.,The US space agency said Wednesday's test was the closest to simulating a real return to Earth.,2,3,7,5,3,8,1.1256725174235294,0.13793103448275862,0.877831220626831,1.326364517211914,0.01430046558380127
xsum__train__28040681__pegasus-xsum__0,Nasa has successfully tested its new Orion spacecraft's parachute system.,Orion is designed to replace the shuttle as America's manned space transport system.,0,2,1,1,9,4,1.136009351263543,0.23999999999999996,0.8866475224494934,0.37117207050323486,0.07595551013946533
xsum__train__28040681__pegasus-xsum__0,Nasa has successfully tested its new Orion spacecraft's parachute system.,"""We've put the parachutes through their paces in ground and airdrop testing in just about every conceivable way,"" said Orion's programme manager Mark Geyer.",2,8,2,6,8,5,0.8167110695987543,0.21621621621621623,0.8719457387924194,0.5650244951248169,0.06801283359527588
xsum__train__28040681__pegasus-xsum__0,Nasa has successfully tested its new Orion spacecraft's parachute system.,"""The series of tests has proven the system and will help ensure crew and mission safety for our astronauts in the future.""",0,9,5,3,2,2,0.6580606100519398,0.1818181818181818,0.8863280415534973,1.7651104927062988,0.10238766670227051
xsum__train__28040681__pegasus-xsum__0,Nasa has successfully tested its new Orion spacecraft's parachute system.,"Nasa is preparing Orion for its first trip to space in December, a two-hour, four-orbit flight that will send an unmanned version of the spacecraft more than 5,700km (3,600 miles) into space.",1,1,6,7,1,0,1.1545299350931502,0.1702127659574468,0.87164306640625,3.133577585220337,0.1412137746810913
xsum__train__28040681__pegasus-xsum__0,Nasa has successfully tested its new Orion spacecraft's parachute system.,It will then be returned to Earth to test the performance of many of the craft's critical systems.,0,7,4,4,5,9,0.9220336816145508,0.19999999999999998,0.8849676251411438,1.0736606121063232,0.004074692726135254
